Node	feature
F_Herpomyces	genus
F_Endocarpon	genus
F_Phanerochaete	genus
F_Microallomyces	genus
F_Telimena	genus
F_Septoglomus	genus
B_Leptothrix	genus
B_Nonlabens	genus
F_Simonyella	genus
F_Tylopilus	genus
F_Pseudomerulius	genus
F_Metarhizium	genus
F_Elsinoe	genus
B_Ochrobactrum	genus
F_Xylaria	genus
F_Phlyctochytrium	genus
F_Flammulina	genus
F_Dactylina	genus
F_Ceriporia	genus
B_Actinomadura	genus
F_Absconditella	genus
F_Ramaria	genus
F_Diplotomma	genus
F_Polyporus	genus
F_Thanatephorus	genus
F_Phlyctis	genus
F_Nakaseomyces	genus
F_Brettanomyces	genus
F_Kusaghiporia	genus
F_Ilyonectria	genus
F_Tuber	genus
F_Clavaria	genus
F_Amyloporia	genus
F_Pileolaria	genus
F_Cryptococcus	genus
B_Actinoplanes	genus
F_Torpedospora	genus
F_Leucocortinarius	genus
F_Colletotrichum	genus
F_Synchytrium	genus
F_Rozella	genus
F_Cyberlindnera	genus
F_Hesperomyces	genus
F_Entorrhiza	genus
F_Wickerhamiella	genus
F_Candelabrochaete	genus
F_Verrucaria	genus
F_Candida	genus
F_Suberoteratosphaeria	genus
B_Tetragenococcus	genus
F_Derxomyces	genus
B_Porphyrobacter	genus
F_Paraglomus	genus
B_Georgenia	genus
F_Gonapodya	genus
F_Loxosporopsis	genus
F_Cladophialophora	genus
F_Blumeria	genus
F_Coccidioides	genus
B_Helicobacter	genus
F_Termitomyces	genus
F_Lulworthia	genus
B_Echinicola	genus
F_Hypogymnia	genus
B_Rubrivivax	genus
F_Llimoniella	genus
F_Acremonium	genus
F_Parmelia	genus
F_Catapyrenium	genus
F_Parasola	genus
F_Lachnellula	genus
B_Paucibacter	genus
F_Neolentinus	genus
F_Scleroderma	genus
B_Leptolyngbya	genus
F_Archaeospora	genus
F_Jaminaea	genus
B_Serratia	genus
B_Prochlorococcus	genus
F_Infundibura	genus
F_Sporisorium	genus
F_Rickia	genus
F_Arenariomyces	genus
B_Exiguobacterium	genus
B_Sinorhizobium	genus
F_Lopharia	genus
F_Phyllachora	genus
F_Coccocarpia	genus
B_Enterobacter	genus
B_Azotobacter	genus
F_Ocellularia	genus
F_Hypoxylon	genus
B_Paenarthrobacter	genus
F_Cyptotrama	genus
F_Clavulina	genus
F_Exobasidium	genus
B_Rhizobium	genus
F_Rhizopogon	genus
B_Labrys	genus
F_Neozygites	genus
F_Ogataea	genus
B_Comamonas	genus
A_Methanosarcina	genus
B_Gemmata	genus
F_Aspergillus	genus
F_Geastrum	genus
F_Herpothallon	genus
F_Scedosporium	genus
F_Hydnum	genus
F_Phaffomyces	genus
